link,from_version,to_version
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch33to35.exe,33,35
http://tw.dl.gamania.com/maplestory/download/MaplePatch34to35.exe,34,35
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch34to35.exe,34,35
http://tw.dl.gamania.com/maplestory/download/MaplePatch35to36.exe,35,36
http://tw.dl.gamania.com/maplestory/download/MaplePatch37to38.exe,37,38
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch37to38.exe,37,38
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch37to38.exe,37,38
http://tw.dl.gamania.com/maplestory/download/MaplePatch39to40.exe,39,40
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch39to40.exe,39,40
http://tw.dl.gamania.com/maplestory/download/MaplePatch40to41.exe,40,41
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch40to41.exe,40,41
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch40to41.exe,40,41
http://tw.dl.gamania.com/maplestory/download/MaplePatch42to43.exe,42,43
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch42to43.exe,42,43
http://tw.dl.gamania.com/maplestory/download/MaplePatch44to45.exe,44,45
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch44to45.exe,44,45
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch44to45.exe,44,45
http://tw.dl.gamania.com/maplestory/download/MaplePatch45to46.exe,45,46
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch45to46.exe,45,46
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch46to48.exe,46,48
http://tw.dl.gamania.com/maplestory/download/MaplePatch47to48.exe,47,48
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch47to48.exe,47,48
testserver,,
http://tw.dl.gamania.com/maplestory/download/MaplePatchT3to4.exe,T3,T4
http://tw.dl.gamania.com/maplestory/download/MaplePatchT4to5.exe,T4,T5
